1 1 1 0
1 1 1 0
1 2 1 1
1 2 1 0
1 3 1 0
1 3 1 0
1 4 1 0
1 4 1 0
1 5 1 0
1 5 1 0
1 6 1 0
1 6 1 0
1 7 1 0
1 7 1 0
1 8 1 0
1 8 1 0
2 1 2 1
2 1 2 1
2 2 0 0
2 2 0 0
2 3 0 0
2 3 2 0
2 4 6 0
2 4 4 0
2 5 8 0
2 5 6 0
2 6 6 0
2 6 6 0
2 7 8 0
2 7 20 0
2 8 24 0
2 8 14 0
3 1 3 1
3 1 1 1
3 2 3 2
3 2 1 0
3 3 3 0
3 3 3 1
3 4 11 2
3 4 7 1
3 5 15 0
3 5 13 0
3 6 27 1
3 6 23 0
3 7 51 0
3 7 29 0
3 8 81 0
4 1 2 2
4 2 2 0
3 8 101 1
4 3 0 0
4 1 2 0
4 2 4 1
4 4 10 0
4 3 12 3
4 4 22 1
4 5 38 0
4 5 32 3
4 6 68 1
4 6 78 0
4 7 124 1
5 1 1 1
4 7 166 5
5 2 5 1
5 1 3 1
5 3 7 1
5 2 7 2
5 3 11 1
5 4 29 3
5 4 27 0
5 5 49 4
5 5 53 1
5 6 143 7
6 1 2 1
6 2 2 0
5 6 113 6
6 3 18 2
6 1 4 2
6 2 6 3
6 3 20 5
6 4 36 0
6 4 32 1
6 5 96 3
1 1 1 0
1 2 1 1
1 3 1 0
1 4 1 0
1 5 1 0
1 6 1 0
1 7 1 0
1 8 1 0
2 1 2 1
2 2 2 1
2 3 6 2
2 4 4 0
2 5 2 0
2 6 4 0
2 7 10 0
2 8 28 0
3 1 3 2
3 2 3 1
3 3 7 0
3 4 9 1
3 5 13 0
6 5 98 1
1 1 1 1
1 2 1 1
1 3 1 0
1 4 1 0
1 5 1 0
1 6 1 0
1 7 1 0
1 8 1 0
2 1 2 1
2 2 2 1
2 3 4 0
2 4 6 1
2 5 0 0
2 6 6 0
3 6 31 0
2 7 6 0
2 8 6 0
3 1 3 1
3 2 3 1
3 3 3 1
3 4 9 0
3 5 19 2
3 6 21 0
3 7 41 0
3 7 53 0
3 8 77 0
4 1 2 2
4 2 2 0
4 3 10 1
4 4 18 3
3 8 79 0
4 1 2 1
4 2 2 0
4 3 6 0
4 5 38 0
4 4 18 0
4 5 28 0
4 6 66 2
4 6 60 1
