pfeas pfeas_exp3 d
0.53441802252816 0.5 2
0.595744680851064 0.531160045888127 3
0.686792452830189 0.639649789735818 4
0.733416770963705 0.684984317322662 5
0.769423558897243 0.72631325130762 6
0.797246558197747 0.762075744661293 7
0.257822277847309 0.25 2
0.421777221526909 0.398006498802117 3
0.566958698372966 0.536871826300739 4
0.637046307884856 0.641220958214744 5
0.737171464330413 0.723577989063755 6
0.765957446808511 0.783530441170569 7
0.120150187734668 0.125 2
0.285356695869837 0.296997086088837 3
0.471839799749687 0.476848538030057 4
0.589486858573216 0.628639257717822 5
0.728410513141427 0.750161784901098 6
0.804755944931164 0.839053279046141 7
0.0675844806007509 0.0625 2
0.198998748435544 0.219924321263412 3
0.37468671679198 0.427921138024788 4
0.589486858573216 0.627677819819831 5
0.724655819774718 0.787287531961493 6
0.847309136420526 0.891597762949372 7
0.0362953692115144 0.03125 2
0.152690863579474 0.161022788601605 3
0.330413016270338 0.382497623063987 4
0.55819774718398 0.628302416950148 5
0.730576441102757 0.822257750001241 6
0.0187734668335419 0.015625 2
0.0988735919899875 0.11702337387981 3
0.304511278195489 0.342118462739072 4
0.550688360450563 0.628592098070022 5
0.00750938673341677 0.0078125 2
0.0901126408010012 0.0843043177062452 3
0.286967418546366 0.304646091681556 4
0.00375469336670839 0.00390625 2
0.0738423028785982 0.0604157512711241 3
