t x1 x2	x1p x2p
0 0.5 1.0 0.5 1
0.12551317110650315 0.5281255141642851 0.9920180931557044 0.5486609579163495 0.9894776423160343
0.5124615312642128 0.6117842315514896 0.9715326068017501 0.6497340711610827 0.968923056860094
1.0639937688462489 0.7160378389739791 0.9502587101276361 0.7579548345607602 0.9476483846361983
1.7632251748794578 0.8139249669088106 0.9322077403285031 0.8619927823890471 0.926293437412678
2.6579260880337703 0.8877345724814167 0.9183323077813977 0.9082387224001118 0.9156354971355405
3.547372166299604 0.9234797562549666 0.9107480752559378 0.9353787249747468 0.9084072765285998
4.629785306296877 0.941884847441124 0.9061039332618965 0.9464474678362428 0.9049082721222603
5.8425744658215075 0.9491279274118877 0.9038577282599902 0.9508598224660066 0.903242727598897
7.320176175846981 0.9516985569584848 0.9028672703653083 0.9521768044150396 0.9026454467112845
9.08668489970243 0.9523930872594724 0.9025330126844058 0.9524988005819974 0.9024701213219248
10.0 0.9524914825031724 0.9024780421293763 0.9525535420313361 0.9024352268077248
				
				
				
				
