1.000000000000000000e+00 2.000000000000000000e+00 5.000000057930915620e-01
1.000000000000000000e+00 3.000000000000000000e+00 4.696699141100894037e-01
1.000000000000000000e+00 4.000000000000000000e+00 3.627404735808354985e-01
1.000000000000000000e+00 5.000000000000000000e+00 2.501006808366104117e-01
1.000000000000000000e+00 6.000000000000000000e+00 2.682806243343132668e-01
2.000000000000000000e+00 2.000000000000000000e+00 7.500000036000714632e-01
2.000000000000000000e+00 3.000000000000000000e+00 5.892812308497995533e-01
2.000000000000000000e+00 4.000000000000000000e+00 4.220406268837528785e-01
2.000000000000000000e+00 5.000000000000000000e+00 3.166433867317015038e-01
2.000000000000000000e+00 6.000000000000000000e+00 2.376651264552737397e-01
3.000000000000000000e+00 2.000000000000000000e+00 8.750000026409171516e-01
3.000000000000000000e+00 3.000000000000000000e+00 6.913267823283086866e-01
3.000000000000000000e+00 4.000000000000000000e+00 5.012095592110737963e-01
3.000000000000000000e+00 5.000000000000000000e+00 3.438197772024227938e-01
3.000000000000000000e+00 6.000000000000000000e+00 2.254627467935000629e-01
4.000000000000000000e+00 2.000000000000000000e+00 9.375000020376297316e-01
4.000000000000000000e+00 3.000000000000000000e+00 7.725336372568131216e-01
4.000000000000000000e+00 4.000000000000000000e+00 5.596686970211370848e-01
4.000000000000000000e+00 5.000000000000000000e+00 3.560738326914709706e-01
4.000000000000000000e+00 6.000000000000000000e+00 1.991952361029213359e-01
5.000000000000000000e+00 2.000000000000000000e+00 9.687500021391176608e-01
5.000000000000000000e+00 3.000000000000000000e+00 8.359316775716072456e-01
5.000000000000000000e+00 4.000000000000000000e+00 6.100279982635518072e-01
5.000000000000000000e+00 5.000000000000000000e+00 3.620505634272964124e-01
5.000000000000000000e+00 6.000000000000000000e+00 1.696806700553503133e-01
6.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00
6.000000000000000000e+00 2.000000000000000000e+00 0.000000000000000000e+00
6.000000000000000000e+00 3.000000000000000000e+00 0.000000000000000000e+00
6.000000000000000000e+00 4.000000000000000000e+00 0.000000000000000000e+00
6.000000000000000000e+00 5.000000000000000000e+00 0.000000000000000000e+00
7.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00
7.000000000000000000e+00 2.000000000000000000e+00 0.000000000000000000e+00
7.000000000000000000e+00 3.000000000000000000e+00 0.000000000000000000e+00
7.000000000000000000e+00 4.000000000000000000e+00 0.000000000000000000e+00
7.000000000000000000e+00 5.000000000000000000e+00 0.000000000000000000e+00
8.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00
8.000000000000000000e+00 2.000000000000000000e+00 0.000000000000000000e+00
8.000000000000000000e+00 3.000000000000000000e+00 0.000000000000000000e+00
8.000000000000000000e+00 4.000000000000000000e+00 0.000000000000000000e+00
8.000000000000000000e+00 5.000000000000000000e+00 0.000000000000000000e+00
