n,d,nsol,npos
5,5,28,1
5,5,38,2
5,5,36,1
5,5,28,0
5,5,26,0
5,5,40,1
5,5,32,1
5,5,26,1
5,5,32,0
5,5,28,0
5,5,26,2
5,5,44,0
5,5,36,0
5,5,26,0
5,5,18,1
5,5,34,0
5,5,26,2
5,5,34,2
5,5,28,0
5,5,34,1
5,5,40,2
5,5,30,0
5,5,28,4
5,5,32,1
5,5,32,2
5,5,34,2
5,5,26,0
5,5,36,3
5,5,28,0
5,5,33,0
5,5,40,0
5,5,30,3
5,5,34,0
5,5,16,0
5,5,32,1
5,5,34,2
5,5,20,0
5,5,36,1
5,5,36,3
5,5,28,2
5,5,38,0
5,5,26,0
5,5,36,0
5,5,30,0
5,5,26,0
5,5,34,2
5,5,30,1
5,5,24,0
5,5,36,0
5,5,40,1
5,5,32,1
5,5,40,0
5,5,38,0
5,5,36,0
5,5,30,1
5,5,46,0
5,5,20,0
5,5,28,0
5,5,30,0
5,5,36,0
5,5,28,1
5,5,28,1
5,5,28,2
5,5,28,1
5,5,44,1
5,5,18,0
5,5,20,2
5,5,38,1
5,5,48,1
5,5,46,1
5,5,32,1
5,5,44,0
5,5,32,1
5,5,28,1
5,5,32,1
5,5,38,0
5,5,34,0
5,5,38,0
5,5,28,2
5,5,32,0
5,5,38,1
5,5,34,4
5,5,32,1
5,5,34,1
5,5,32,1
5,5,22,0
5,5,34,0
5,5,32,1
5,5,36,1
5,5,26,1
5,5,38,4
5,5,32,3
5,5,24,0
5,5,34,0
5,5,26,3
5,5,36,2
5,5,30,0
5,5,36,2
5,5,34,2
5,5,36,2
5,5,28,0
5,5,34,5
5,5,30,2
5,5,28,0
5,5,22,2
5,5,20,0
5,5,38,0
5,5,34,1
5,5,44,2
5,5,34,1
5,5,30,3
5,5,30,1
5,5,26,1
5,5,22,0
5,5,32,2
5,5,38,2
5,5,24,0
5,5,30,0
5,5,36,1
5,5,28,1
5,5,24,0
5,5,48,0
5,5,32,0
5,5,28,1
5,5,32,1
5,5,18,0
5,5,28,1
5,5,32,1
5,5,26,2
5,5,48,1
5,5,32,0
5,5,30,2
5,5,38,0
5,5,40,0
5,5,20,0
5,5,32,0
5,5,26,0
5,5,26,1
5,5,48,1
5,5,26,0
5,5,20,2
5,5,34,0
5,5,30,1
5,5,22,0
5,5,38,3
5,5,42,2
5,5,32,1
5,5,32,3
5,5,36,0
5,5,22,0
5,5,30,3
5,5,42,2
5,5,42,1
5,5,22,0
5,5,32,1
5,5,26,0
5,5,26,0
5,5,46,2
5,5,32,0
5,5,42,0
5,5,42,1
5,5,30,2
5,5,42,0
5,5,38,0
5,5,32,0
5,5,26,0
5,5,36,1
5,5,22,0
5,5,36,1
5,5,34,3
5,5,22,3
5,5,48,0
5,5,26,1
5,5,26,0
5,5,34,0
5,5,26,1
5,5,30,0
5,5,34,1
5,5,18,0
5,5,26,3
5,5,26,0
5,5,32,0
5,5,42,2
5,5,54,1
5,5,20,0
5,5,38,0
5,5,38,2
5,5,22,1
5,5,40,2
5,5,40,3
5,5,30,1
5,5,32,0
5,5,24,0
5,5,36,0
5,5,36,1
5,5,26,0
5,5,48,0
5,5,44,1
5,5,38,0
5,5,28,0
5,5,34,0
5,5,50,2
5,5,44,1
5,5,20,0
5,5,28,0
5,5,20,0
5,5,22,0
5,5,14,1
5,5,36,3
5,5,36,2
5,5,38,2
5,5,28,0
5,5,32,1
5,5,60,4
5,5,28,0
5,5,20,2
5,5,32,0
5,5,22,1
5,5,26,0
5,5,34,1
5,5,40,2
5,5,26,2
5,5,36,0
5,5,26,0
5,5,40,1
5,5,30,1
5,5,46,0
5,5,22,0
5,5,14,1
5,5,26,1
5,5,40,2
5,5,38,4
5,5,36,0
5,5,34,4
5,5,34,0
5,5,36,2
5,5,26,1
5,5,34,0
5,5,50,2
5,5,34,2
5,5,40,3
5,5,32,1
5,5,34,0
5,5,40,2
5,5,20,0
5,5,40,2
5,5,28,0
5,5,32,3
5,5,30,3
5,5,28,1
5,5,30,3
5,5,32,1
5,5,38,0
5,5,32,1
5,5,20,0
5,5,32,3
5,5,36,2
5,5,30,0
5,5,34,2
5,5,24,0
5,5,18,1
5,5,20,0
5,5,26,2
5,5,38,0
5,5,38,2
5,5,34,0
5,5,42,1
5,5,18,0
5,5,24,1
5,5,24,2
5,5,32,1
5,5,32,0
5,5,38,0
5,5,40,2
5,5,30,0
5,5,28,0
5,5,42,2
5,5,34,2
5,5,44,2
5,5,22,1
5,5,28,0
5,5,30,2
5,5,20,0
5,5,30,1
5,5,20,0
5,5,46,0
5,5,32,0
5,5,26,0
5,5,26,0
5,5,30,0
5,5,30,2
5,5,34,0
5,5,38,0
5,5,24,0
5,5,32,1
5,5,54,1
5,5,22,2
5,5,26,3
5,5,30,0
5,5,40,1
5,5,34,0
5,5,22,1
5,5,48,1
5,5,30,2
5,5,40,3
5,5,38,0
5,5,28,0
5,5,24,0
5,5,36,1
5,5,36,0
5,5,34,1
5,5,34,0
5,5,22,0
5,5,24,0
5,5,36,0
5,5,20,0
5,5,34,4
5,5,42,0
5,5,40,0
5,5,20,0
5,5,38,1
5,5,32,0
5,5,26,2
5,5,28,2
5,5,40,3
5,5,32,0
5,5,26,0
5,5,26,0
5,5,28,0
5,5,32,0
5,5,38,2
5,5,52,5
5,5,22,0
5,5,34,6
5,5,42,2
5,5,42,2
5,5,28,0
5,5,26,1
5,5,32,0
5,5,36,0
5,5,32,1
5,5,32,0
5,5,32,2
5,5,32,0
5,5,28,0
5,5,28,0
5,5,24,0
5,5,24,0
5,5,36,0
5,5,36,2
5,5,28,0
5,5,28,1
5,5,38,0
5,5,36,2
5,5,38,1
5,5,30,0
5,5,26,1
5,5,32,4
5,5,32,2
5,5,34,2
5,5,36,3
5,5,28,0
5,5,24,0
5,5,32,1
5,5,32,0
5,5,18,0
5,5,26,2
5,5,22,0
5,5,44,2
5,5,32,0
5,5,30,1
5,5,30,1
5,5,30,0
5,5,34,0
5,5,34,2
5,5,36,2
5,5,28,0
5,5,32,4
5,5,24,0
5,5,34,0
5,5,54,1
5,5,34,1
5,5,28,0
5,5,34,2
5,5,28,0
5,5,42,2
5,5,20,1
5,5,23,0
5,5,34,3
5,5,24,1
5,5,26,0
5,5,42,0
5,5,32,1
5,5,32,0
5,5,44,3
5,5,32,2
5,5,26,0
5,5,42,1
5,5,36,0
5,5,36,0
5,5,26,0
5,5,34,3
5,5,20,0
5,5,20,0
5,5,40,1
5,5,34,2
5,5,36,0
5,5,28,2
5,5,28,1
5,5,46,1
5,5,24,1
5,5,30,0
5,5,36,2
5,5,32,0
5,5,30,0
5,5,34,0
5,5,38,2
5,5,32,1
5,5,44,2
5,5,38,1
5,5,40,1
5,5,34,1
5,5,34,2
5,5,30,0
5,5,24,0
5,5,24,0
5,5,28,0
5,5,32,0
5,5,28,0
5,5,34,2
5,5,30,0
5,5,32,0
5,5,30,1
5,5,30,0
5,5,34,0
5,5,24,0
5,5,30,0
5,5,32,0
5,5,42,0
5,5,36,0
5,5,32,0
5,5,34,2
5,5,36,0
5,5,36,1
5,5,24,0
5,5,38,0
5,5,36,1
5,5,26,3
5,5,22,0
5,5,20,0
5,5,34,2
5,5,32,1
5,5,36,1
5,5,30,1
5,5,44,1
5,5,32,0
5,5,28,2
5,5,44,0
5,5,54,1
5,5,32,0
5,5,22,0
5,5,32,2
5,5,28,1
5,5,34,0
5,5,36,1
5,5,38,0
5,5,36,0
