"n" "d" "nsol" "npos"
2 5 0 0
2 5 0 0
2 5 4 2
2 5 6 2
2 5 2 0
2 5 6 2
2 5 4 1
2 5 6 3
2 5 6 0
2 5 6 3
2 5 4 1
2 5 2 0
2 5 0 0
2 5 2 1
2 5 4 1
2 5 8 3
2 5 4 2
2 5 4 1
2 5 4 1
2 5 8 3
2 5 6 1
2 5 4 1
2 5 2 0
2 5 4 2
2 5 4 1
2 5 2 1
2 5 4 2
2 5 2 2
2 5 6 3
2 5 0 0
2 5 4 1
2 5 2 1
2 5 4 2
2 5 4 0
2 5 4 1
2 5 4 2
2 5 2 0
2 5 6 3
2 5 4 0
2 5 4 0
2 5 4 2
2 5 2 1
2 5 6 3
2 5 4 1
2 5 2 0
2 5 6 0
2 5 4 1
2 5 4 1
2 5 4 1
2 5 4 0
2 5 10 4
2 5 6 1
2 5 4 2
2 5 4 0
2 5 2 2
2 5 2 1
2 5 6 1
2 5 2 0
2 5 2 0
2 5 4 3
2 5 4 1
2 5 4 1
2 5 8 3
2 5 6 0
2 5 2 1
2 5 4 2
2 5 2 0
2 5 2 1
2 5 2 1
2 5 4 1
2 5 2 0
2 5 6 3
2 5 4 2
2 5 2 0
2 5 6 1
2 5 2 0
2 5 4 0
2 5 2 1
2 5 8 3
2 5 4 0
2 5 4 0
2 5 4 0
2 5 4 2
2 5 4 0
2 5 0 0
2 5 6 2
2 5 4 2
2 5 4 1
2 5 6 1
2 5 4 2
2 5 4 2
2 5 4 1
2 5 6 1
2 5 2 0
2 5 4 1
2 5 6 1
2 5 0 0
2 5 2 0
2 5 2 1
2 5 2 1
2 5 2 1
2 5 6 1
2 5 4 0
2 5 4 2
2 5 6 1
2 5 4 0
2 5 4 1
2 5 4 3
2 5 0 0
2 5 8 0
2 5 6 0
2 5 4 1
2 5 2 1
2 5 8 1
2 5 6 1
2 5 6 1
2 5 6 3
2 5 2 2
2 5 6 0
2 5 4 0
2 5 0 0
2 5 4 3
2 5 4 2
