1 1 1 0
1 2 1 0
1 3 1 0
1 4 1 0
1 5 1 0
1 6 1 0
1 7 1 0
1 8 1 0
2 1 2 1
2 2 0 0
2 3 0 0
2 4 6 0
2 5 8 0
2 6 6 0
2 7 8 0
2 8 14 0
3 1 1 1
3 2 1 0
3 3 3 1
3 4 7 1
3 5 13 0
3 6 23 0
3 7 51 0
3 8 81 0
4 1 2 2
4 2 2 0
4 3 0 0
4 4 10 0
4 5 38 0
4 6 68 1
4 7 166 5
5 1 3 1
5 2 7 2
5 3 11 1
5 4 27 0
5 5 53 1
5 6 113 6
6 1 4 2
6 2 6 3
6 3 20 5
6 4 32 1
6 5 98 1
1 1 1 1
1 2 1 1
1 3 1 0
1 4 1 0
1 5 1 0
1 6 1 0
1 7 1 0
1 8 1 0
2 1 2 1
2 2 2 1
2 3 4 0
2 4 6 1
2 5 0 0
2 6 6 0
2 7 6 0
2 8 6 0
3 1 3 1
3 2 3 1
3 3 3 1
3 4 9 0
3 5 19 2
3 6 21 0
3 7 53 0
3 8 79 0
4 1 2 1
4 2 2 0
4 3 6 0
4 4 18 0
4 5 28 0
4 6 60 1
4 7 150 2
5 1 5 2
5 2 7 2
5 3 11 0
5 4 23 0
5 5 59 1
5 6 137 7
6 1 2 1
6 2 6 3
6 3 20 3
6 4 50 4
6 5 98 4
1 1 1 1
1 2 1 0
1 3 1 0
1 4 1 0
1 5 1 0
1 6 1 0
1 7 1 0
1 8 1 0
2 1 2 2
2 2 2 1
2 3 2 0
2 4 2 0
2 5 6 0
2 6 10 0
2 7 14 0
2 8 10 0
3 1 1 0
3 2 3 1
3 3 5 0
3 4 7 1
3 5 13 0
3 6 31 1
3 7 47 0
3 8 79 0
4 1 2 1
4 2 4 0
4 3 6 1
4 4 18 3
4 5 34 2
4 6 68 1
4 7 128 0
5 1 3 2
5 2 5 2
5 3 21 2
5 4 31 3
5 5 51 2
5 6 131 0
6 1 2 1
6 2 6 2
6 3 10 2
6 4 38 2
6 5 82 2
1 1 1 1
1 2 1 0
1 3 1 0
1 4 1 0
1 5 1 1
1 6 1 0
1 7 1 0
1 8 1 0
2 1 2 1
2 2 2 1
2 3 4 1
2 4 8 0
2 5 10 0
2 6 10 0
2 7 14 0
2 8 10 0
3 1 3 1
3 2 1 0
3 3 7 2
3 4 3 0
3 5 15 0
3 6 19 0
3 7 39 1
3 8 75 2
4 1 0 0
4 2 2 0
4 3 6 0
4 4 13 1
4 5 32 3
4 6 70 0
4 7 126 1
5 1 1 1
5 2 1 1
5 3 17 3
5 4 29 2
5 5 59 6
5 6 125 3
6 1 2 2
6 2 2 0
6 3 16 0
6 4 34 3
6 5 80 4
1 1 1 0
1 2 1 0
1 3 1 0
1 4 1 0
1 5 1 0
1 6 1 0
1 7 1 0
1 8 1 0
2 1 2 1
2 2 2 0
2 3 0 0
2 4 2 1
2 5 8 0
2 6 6 0
2 7 12 0
2 8 16 0
3 1 1 0
3 2 3 2
3 3 5 1
3 4 5 0
3 5 17 2
3 6 41 0
3 7 37 0
3 8 101 1
4 1 4 1
4 2 2 0
4 3 6 0
4 4 20 3
4 5 60 3
4 6 62 1
4 7 110 0
5 1 1 1
5 2 3 0
5 3 15 3
5 4 33 0
5 5 61 1
5 6 125 0
6 1 2 0
6 2 4 1
6 3 14 3
6 4 22 0
6 5 88 5
1 1 1 0
1 2 1 0
1 3 1 0
1 4 1 0
1 5 1 0
1 6 1 0
1 7 1 0
1 8 1 0
2 1 2 1
2 2 2 0
2 3 2 1
2 4 4 1
2 5 6 0
2 6 10 0
2 7 14 0
2 8 8 0
3 1 3 1
3 2 3 0
3 3 5 0
3 4 7 0
3 5 15 0
3 6 19 0
3 7 35 0
3 8 81 0
4 1 2 1
4 2 4 0
4 3 8 0
4 4 12 2
4 5 22 1
4 6 80 0
4 7 120 2
5 1 3 1
5 2 5 2
5 3 9 3
5 4 17 5
5 5 55 2
5 6 117 5
6 1 2 1
6 2 6 2
6 3 16 3
6 4 36 4
6 5 70 0
1 1 1 0
1 2 1 1
1 3 1 1
1 4 1 0
1 5 1 0
1 6 1 0
1 7 1 0
1 8 1 0
2 1 0 0
2 2 4 1
2 3 0 0
2 4 2 0
2 5 8 0
2 6 10 0
2 7 12 0
2 8 18 0
3 1 3 1
3 2 3 1
3 3 9 0
3 4 11 0
3 5 9 0
3 6 25 1
3 7 37 3
3 8 93 0
4 1 0 0
4 2 4 1
4 3 10 1
4 4 14 0
4 5 36 0
4 6 70 0
4 7 102 0
5 1 3 1
5 2 5 1
5 3 9 1
5 4 23 0
5 5 63 1
5 6 127 3
6 1 2 1
6 2 6 1
6 3 12 0
6 4 32 3
6 5 76 2
1 1 1 1
1 2 1 1
1 3 1 0
1 4 1 0
1 5 1 0
1 6 1 0
1 7 1 0
1 8 1 0
2 1 0 0
2 2 2 2
2 3 4 0
2 4 2 0
2 5 6 0
2 6 8 0
2 7 10 0
2 8 6 0
3 1 3 1
3 2 3 2
3 3 3 0
3 4 11 1
3 5 21 2
3 6 31 0
3 7 39 0
3 8 53 0
4 1 0 0
4 2 6 2
4 3 12 1
4 4 16 0
4 5 40 0
4 6 80 2
4 7 144 0
5 1 3 2
5 2 9 2
5 3 11 0
5 4 21 2
5 5 67 8
5 6 115 3
6 1 2 2
6 2 10 2
6 3 16 1
6 4 42 5
6 5 74 3
1 1 1 0
1 2 1 1
1 3 1 1
1 4 1 0
1 5 1 0
1 6 1 0
1 7 1 0
1 8 1 0
2 1 2 1
2 2 0 0
2 3 2 0
2 4 8 0
2 5 6 0
2 6 8 0
2 7 20 0
2 8 28 0
3 1 3 2
3 2 3 2
3 3 5 0
3 4 11 3
3 5 19 0
3 6 35 0
3 7 39 0
3 8 95 2
4 1 2 1
4 2 4 1
4 3 10 1
4 4 26 2
4 5 32 1
4 6 76 2
4 7 144 0
5 1 1 0
5 2 3 1
5 3 11 4
5 4 37 3
5 5 49 0
5 6 131 3
6 1 0 0
6 2 4 2
6 3 12 2
6 4 38 2
6 5 84 3
1 1 1 0
1 2 1 0
1 3 1 0
1 4 1 0
1 5 1 0
1 6 1 0
1 7 1 0
1 8 1 0
2 1 2 2
2 2 2 1
2 3 2 0
2 4 6 1
2 5 8 0
2 6 6 0
2 7 10 0
2 8 22 0
3 1 1 1
3 2 3 1
3 3 7 3
3 4 11 0
3 5 15 1
3 6 31 0
3 7 43 0
3 8 105 1
4 1 2 0
4 2 6 2
4 3 10 0
4 4 18 0
4 5 42 3
4 6 68 2
4 7 190 3
5 1 3 2
5 2 13 2
5 3 7 1
5 4 23 3
5 5 43 3
5 6 147 4
6 1 2 1
6 2 4 1
6 3 12 1
6 4 40 3
6 5 70 1
1 1 1 0
1 2 1 1
1 3 1 0
1 4 1 0
1 5 1 0
1 6 1 0
1 7 1 0
1 8 1 0
2 1 2 0
2 2 2 0
2 3 4 0
2 4 4 0
2 5 2 0
2 6 14 0
2 7 10 0
2 8 22 0
3 1 1 1
3 2 3 0
3 3 3 0
3 4 5 0
3 5 15 1
3 6 21 0
3 7 43 2
3 8 51 0
4 1 2 0
4 2 4 0
4 3 14 4
4 4 14 0
4 5 44 0
4 6 54 0
4 7 108 2
5 1 1 0
5 2 3 0
5 3 7 1
5 4 29 2
5 5 47 4
5 6 109 0
6 1 2 1
6 2 4 1
6 3 12 2
6 4 40 4
6 5 88 4
1 1 1 0
1 2 1 0
1 3 1 0
1 4 1 0
1 5 1 0
1 6 1 0
1 7 1 0
1 8 1 0
2 1 0 0
2 2 2 0
2 3 0 0
2 4 4 0
2 5 0 0
2 6 6 0
2 7 14 0
2 8 12 0
3 1 3 2
3 2 3 0
3 3 5 0
3 4 9 1
3 5 15 0
3 6 21 0
3 7 41 1
3 8 77 3
4 1 4 1
4 2 2 1
4 3 8 0
4 4 12 0
4 5 32 0
4 6 78 0
4 7 160 2
5 1 1 1
5 2 7 1
5 3 11 3
5 4 23 0
5 5 71 3
5 6 107 1
6 1 2 1
6 2 4 2
6 3 22 2
6 4 32 1
6 5 74 4
1 1 1 1
1 2 1 1
1 3 1 0
1 4 1 0
1 5 1 0
1 6 1 0
1 7 1 0
1 8 1 0
2 1 2 1
2 2 2 1
2 3 2 0
2 4 4 0
2 5 0 0
2 6 2 0
2 7 4 0
2 8 12 0
3 1 1 1
3 2 3 1
3 3 3 0
3 4 7 0
3 5 9 0
